0,-45,0.08,0.13,0.73,105.37,97.87,17.69,1
1,-45,0.07,0.13,0.72,105.79,96.61,20.16,2
2,-44,0.03,0.11,0.72,106.67,91.93,27.37,3
3,-44,-0.03,0.09,0.66,99.44,70.97,41.56,4
4,-43,-0.08,0.04,0.61,67.10,31.89,21.90,5
5,-43,-0.13,0.01,0.53,29.63,-16.98,-0.38,6
6,-45,-0.11,-0.03,0.55,-3.95,-67.66,-30.76,7
7,-50,-0.01,-0.19,0.86,-56.70,-123.34,-32.77,8
8,-53,-0.02,-0.07,1.55,-149.76,-204.60,16.15,10
9,-56,-0.30,0.06,1.49,-161.28,-185.54,18.95,11
10,-69,0.03,0.16,0.97,-6.61,-57.49,42.50,14
11,-62,0.08,0.10,1.08,61.79,-33.24,73.10,15
12,-67,-0.03,0.06,1.08,93.49,3.00,112.39,16
13,-73,0.00,0.03,0.87,48.95,8.71,98.55,18
14,-68,-0.13,0.18,0.89,-94.36,-41.98,25.75,20
15,-72,-0.21,0.22,0.84,-112.56,-39.53,-38.50,22
16,-65,-0.10,0.23,0.83,-80.20,-26.64,-55.06,23
17,-65,0.06,0.18,0.83,-40.14,-24.44,-51.93,24
18,-70,-0.13,0.33,1.39,47.45,1.79,-14.74,27
19,-59,-0.15,0.24,0.90,93.38,70.51,-65.82,29
20,-59,-0.05,0.31,0.84,121.73,63.24,-128.04,30
21,-60,0.03,0.29,1.27,157.13,39.37,-213.68,31
22,-57,0.31,-0.02,1.58,115.75,105.08,-213.56,32
23,-55,0.50,-0.04,1.32,61.97,95.36,-117.83,33
24,-50,0.13,0.04,0.86,91.26,81.62,3.38,35
25,-51,0.16,0.04,0.77,110.73,87.64,23.48,36
26,-56,0.14,-0.02,0.84,99.49,68.67,26.03,37
27,-58,0.12,-0.05,0.81,68.23,55.82,32.69,38
28,-59,0.08,-0.04,0.69,39.08,33.97,40.08,39
29,-60,0.11,-0.07,0.65,8.15,-0.06,45.60,40
30,-62,0.07,-0.12,0.75,-34.56,-29.83,70.40,41
31,-68,0.24,-0.06,1.10,-88.05,-67.19,88.14,42
32,-77,0.17,-0.03,1.60,-153.99,-100.58,112.90,43
33,-70,-0.06,0.15,1.58,-213.15,-108.14,132.94,44
34,-69,-0.18,0.31,1.23,-216.63,-78.86,126.92,45
35,-67,-0.16,0.44,1.14,-169.88,-51.05,121.39,46
36,-68,-0.20,0.52,1.25,-112.77,-35.60,84.18,47
37,-78,-0.01,0.44,1.15,-61.18,-6.69,47.97,48
38,-73,0.11,0.32,1.01,-13.74,0.29,48.35,49
39,-73,0.04,0.26,0.94,17.41,-7.19,73.67,50
40,-75,-0.13,0.27,0.87,10.95,-8.68,83.73,51
41,-76,-0.29,0.37,0.84,-21.75,-4.73,48.76,52
42,-84,-0.40,0.56,0.85,-52.10,-2.53,-34.59,53
43,-70,-0.46,0.69,0.81,-58.39,3.77,-123.10,54
44,-75,-0.33,0.74,0.90,-41.90,5.24,-187.83,55
45,-72,-0.09,0.74,1.07,-6.99,7.85,-248.80,56
46,-70,0.06,0.62,1.27,26.25,33.37,-250.14,57
47,-68,0.22,0.44,1.26,35.19,86.90,-250.14,58
48,-62,0.35,0.45,1.08,39.47,97.86,-250.14,59
49,-59,0.54,0.29,1.38,24.53,90.40,-250.14,61
50,-61,0.53,0.34,1.32,-6.09,94.91,-220.28,62
51,-64,0.52,0.35,1.20,-13.89,94.88,-191.53,63
52,-71,0.51,0.34,1.04,1.51,94.00,-161.19,64
53,-75,0.49,0.30,0.91,30.89,86.17,-122.25,65
54,-75,0.45,0.27,0.88,57.69,72.21,-87.21,66
55,-71,0.40,0.30,0.89,71.56,53.96,-80.50,67
56,-68,0.37,0.34,0.93,71.79,29.63,-105.37,68
57,-64,0.39,0.37,0.99,83.75,-12.83,-163.64,70
58,-63,0.41,0.34,1.04,99.24,-20.29,-167.69,71
59,-65,0.41,0.34,1.08,117.70,-21.52,-165.36,72
60,-69,0.37,0.29,1.19,146.28,-24.30,-161.59,74
61,-61,0.22,0.18,1.25,171.53,-14.73,-113.44,76
62,-60,0.03,0.17,1.28,175.51,-13.46,-109.99,77
63,-55,-0.04,0.09,1.36,169.75,-8.29,-129.50,78
64,-52,-0.07,-0.03,1.35,138.05,4.24,-139.89,79
65,-50,-0.07,-0.27,1.06,48.57,-26.17,-111.79,81
66,-58,-0.10,-0.24,0.69,-28.92,-31.56,-20.40,83
67,-64,0.12,-0.13,0.83,-40.28,-20.54,32.56,84
68,-62,0.27,-0.10,1.00,-52.51,-8.92,100.57,85
69,-68,0.32,0.04,1.11,-68.06,-24.17,156.75,86
70,-76,0.13,0.12,1.10,-87.88,-42.60,166.18,87
71,-74,-0.15,0.23,1.09,-124.39,-59.10,87.02,89
72,-75,-0.12,0.25,1.12,-136.75,-62.07,57.30,90
73,-74,-0.01,0.26,1.04,-126.82,-58.37,59.15,91
74,-70,-0.04,0.30,1.00,-101.87,-53.36,75.06,92
75,-68,-0.09,0.29,0.97,-87.51,-41.62,82.29,93
76,-69,-0.12,0.33,0.93,-85.11,-33.50,70.51,94
77,-70,-0.14,0.44,1.11,-72.37,-33.49,-1.46,96
78,-70,-0.27,0.36,0.71,67.63,49.85,-81.16,99
79,-78,-0.10,0.38,1.27,197.91,57.53,-125.91,101
80,-69,0.09,0.07,1.61,168.73,76.50,-135.40,102
81,-63,0.27,0.15,1.46,103.05,89.51,-114.59,103
