0,-46,-0.44,0.04,-1.00,-33.55,41.14,16.89,2
1,-48,-0.45,0.05,-1.05,-38.79,47.73,17.11,3
2,-51,-0.47,0.11,-1.16,-64.68,69.56,-14.27,4
3,-56,-0.38,0.22,-0.95,-96.34,92.41,-111.94,6
4,-64,-0.24,0.20,-1.10,-94.31,99.89,-137.51,7
5,-66,-0.21,0.13,-1.17,-89.03,94.11,-124.08,8
6,-76,-0.18,0.06,-1.23,-92.75,86.57,-106.95,9
7,-67,-0.19,0.02,-1.10,-101.01,73.44,-85.68,10
8,-76,-0.24,-0.00,-1.05,-111.05,70.31,-72.42,11
9,-62,-0.23,0.01,-1.15,-88.73,61.36,-53.66,13
10,-72,-0.30,-0.01,-1.07,-83.16,62.39,-42.41,14
11,-64,-0.27,0.08,-1.16,-49.44,52.62,-16.71,16
12,-64,-0.31,0.16,-1.19,-6.10,12.73,-11.54,18
13,-56,-0.18,0.23,-1.20,69.44,-47.75,-40.96,20
14,-52,-0.17,0.24,-1.12,99.56,-87.89,-56.62,21
15,-49,-0.24,0.20,-1.35,125.05,-103.81,-56.91,22
16,-48,-0.23,0.11,-1.27,127.17,-106.76,-38.79,23
17,-46,-0.26,0.11,-1.15,125.11,-103.25,-13.24,24
18,-45,-0.28,0.03,-1.11,119.61,-99.32,19.60,25
19,-45,-0.31,0.06,-1.08,103.88,-103.36,53.92,26
20,-45,-0.36,0.11,-1.04,85.95,-106.99,53.80,27
21,-44,-0.40,0.14,-1.02,66.24,-103.85,26.75,28
22,-44,-0.48,0.15,-0.97,51.16,-96.82,-18.54,29
23,-44,-0.49,0.07,-0.88,29.96,-76.31,-56.82,30
24,-46,-0.45,0.05,-0.86,9.99,-55.93,-73.56,31
25,-47,-0.43,0.03,-0.86,-3.87,-45.94,-76.10,32
26,-47,-0.42,0.02,-0.83,-13.38,-37.76,-74.85,33
27,-46,-0.50,-0.03,-0.80,-20.30,-19.22,-63.99,34
28,-47,-0.47,-0.08,-0.77,-30.53,-6.86,-30.33,35
29,-48,-0.57,-0.09,-0.78,-47.20,2.57,-7.95,36
30,-49,-0.56,-0.06,-0.85,-68.82,7.17,-8.16,37
31,-49,-0.61,0.01,-0.86,-77.92,3.95,-26.73,38
32,-49,-0.64,-0.01,-0.89,-79.65,8.24,-59.59,39
33,-48,-0.59,-0.11,-0.91,-84.90,17.50,-71.15,40
34,-48,-0.50,-0.17,-0.95,-90.88,20.38,-55.41,41
35,-49,-0.45,-0.19,-0.94,-94.56,16.44,-34.57,42
36,-49,-0.50,-0.14,-0.94,-98.22,12.15,-34.22,43
37,-50,-0.54,-0.09,-1.00,-89.82,10.98,-45.63,44
38,-51,-0.54,-0.11,-1.03,-79.94,8.53,-66.90,45
39,-52,-0.52,-0.12,-1.01,-75.01,4.28,-80.26,46
40,-52,-0.51,-0.15,-0.96,-68.95,-0.94,-80.98,47
41,-52,-0.55,-0.17,-0.92,-67.72,1.44,-71.34,48
42,-52,-0.51,-0.14,-0.90,-67.76,4.94,-63.79,49
43,-51,-0.54,-0.10,-0.89,-51.21,9.51,-54.63,51
44,-52,-0.54,-0.08,-0.96,-33.69,8.94,-50.21,53
45,-52,-0.54,-0.06,-0.94,-22.12,3.60,-44.14,54
46,-51,-0.54,-0.06,-0.90,-13.68,-0.25,-44.37,55
47,-53,-0.52,-0.06,-0.88,-0.11,-2.82,-29.64,57
48,-53,-0.53,-0.08,-1.08,11.37,-3.82,-15.15,59
49,-52,-0.47,-0.09,-1.07,14.75,-4.72,4.62,60
50,-51,-0.45,-0.05,-1.01,19.81,-13.31,21.73,61
51,-50,-0.48,-0.02,-1.00,17.93,-21.79,21.40,62
52,-50,-0.47,0.01,-0.98,11.92,-27.04,5.49,63
53,-50,-0.41,-0.04,-1.00,-19.85,-31.43,-44.32,67
54,-52,-0.42,-0.03,-0.96,-21.57,-28.62,-46.21,68
55,-53,-0.44,-0.05,-0.91,-35.18,-20.69,-60.48,70
56,-53,-0.45,-0.08,-0.88,-39.66,-13.53,-61.59,71
57,-53,-0.45,-0.13,-0.92,-45.75,-7.88,-53.54,72
58,-52,-0.50,-0.12,-0.91,-52.66,-3.56,-51.67,73
59,-51,-0.51,-0.11,-0.88,-46.11,-5.01,-68.68,75
60,-52,-0.51,-0.18,-0.85,-46.71,-3.79,-80.38,77
61,-52,-0.51,-0.20,-0.86,-46.21,-1.37,-72.92,78
