0,-38,-0.86,0.20,-0.23,59.21,26.54,-3.86
1,-61,-0.10,-0.16,-1.10,-7.40,-12.94,0.85
2,-57,-0.10,-0.17,-1.10,-8.46,-12.37,5.98
3,-53,-0.07,-0.15,-1.08,-7.59,-9.57,-2.56
4,-54,-0.07,-0.17,-1.08,-3.70,-7.64,-7.22
5,-54,-0.09,-0.20,-1.09,0.80,-5.76,-3.82
6,-54,-0.08,-0.18,-1.09,4.94,-3.79,0.25
7,-52,-0.08,-0.17,-1.08,7.33,-2.21,-3.02
8,-52,-0.08,-0.17,-1.08,10.21,-1.95,-8.36
9,-52,-0.08,-0.18,-1.09,12.04,-3.47,-10.09
10,-52,-0.09,-0.19,-1.09,11.87,-4.05,-0.14
11,-51,-0.05,-0.19,-1.09,12.63,-4.19,0.75
12,-52,-0.06,-0.17,-1.08,15.20,-3.89,-1.85
13,-53,-0.08,-0.18,-1.11,19.49,-3.38,-3.71
14,-54,-0.09,-0.19,-1.09,24.21,-2.18,-2.51
15,-55,-0.11,-0.17,-1.08,26.73,-1.82,5.46
16,-55,-0.11,-0.16,-1.07,25.08,-1.81,5.00
17,-55,-0.12,-0.16,-1.08,21.92,-2.69,2.31
18,-56,-0.11,-0.16,-1.09,20.27,-3.44,2.73
19,-56,-0.12,-0.15,-1.05,15.29,-4.70,-2.35
20,-55,-0.12,-0.15,-1.03,13.92,-4.05,-4.37
21,-56,-0.13,-0.12,-1.03,11.66,-3.20,-4.47
22,-61,-0.15,-0.07,-1.08,8.95,-3.29,-12.45
23,-62,-0.14,-0.02,-1.10,-3.25,-6.31,-27.07
24,-52,-0.15,0.02,-1.03,-12.52,-8.77,-47.17
25,-42,-0.24,0.08,-1.01,-48.42,-44.35,-128.39
26,-43,-0.31,0.08,-0.98,-56.17,-53.60,-123.97
27,-39,-0.48,0.16,-1.28,-75.21,-64.94,-75.46
28,-37,-0.51,0.25,-1.46,-93.13,-85.97,-59.79
29,-31,-0.68,0.33,-1.98,-132.65,-135.54,-77.19
30,-31,-0.67,0.21,-2.00,-174.20,-172.82,-34.83
31,-32,-0.63,0.30,-1.89,-195.11,-191.05,2.89
32,-35,-0.52,0.36,-1.65,-198.63,-184.55,10.37
33,-36,-0.36,0.25,-1.30,-194.70,-170.41,14.25
34,-50,-0.15,0.09,-0.35,-122.47,-56.58,72.11
35,-53,-0.12,0.12,-0.35,-80.98,-13.34,81.17
36,-46,-0.02,0.16,-0.51,-39.54,22.44,69.84
37,-32,-0.05,0.10,-1.14,108.47,68.99,28.22
38,-34,-0.24,0.25,-1.32,116.12,54.02,48.14
39,-34,-0.45,0.60,-1.53,142.96,26.17,104.94
40,-34,-0.86,1.05,-1.34,195.34,20.61,197.44
41,-35,-0.65,1.41,-1.37,211.91,3.63,204.58
42,-35,-0.26,1.55,-1.22,206.22,7.57,148.02
43,-37,-0.10,1.41,-1.14,160.30,-15.81,33.92
44,-40,-0.15,1.06,-0.77,97.36,-25.53,-41.15
45,-39,-0.20,0.86,-0.30,61.40,-28.28,-56.77
46,-35,-0.43,0.66,-0.46,-138.48,-30.67,3.17
47,-32,-0.13,0.94,-1.42,-153.31,-4.89,-126.97
48,-32,-0.23,0.76,-1.27,-123.31,8.10,-165.40
49,-35,-0.24,0.51,-1.06,-78.36,27.08,-167.33
50,-33,-0.29,0.20,-0.97,-20.63,19.76,-114.84
51,-33,0.05,0.07,-0.91,42.63,29.34,-81.05
52,-32,0.14,-0.12,-0.96,88.03,56.05,-61.36
